name,access,address,short_description,business_hours,telephone,seat_counts,stylist_counts,latitude,longitude
梵创造型(淮海1号店) ,地铁8号线南京路站出门左拐,卢湾区 淮海中路1号,大美丽大保健,10：00~22:00,021-63301009,6,3,31.22504,121.48002
Top Hair(香港广场旗舰店) ,地铁8号线南京路站出门左拐,卢湾区 淮海中路282号,大美丽大保健,10：00~22:00,021-63301009,10,5,31.22504,121.48002
藤川国际造型 ,地铁8号线南京路站出门左拐,南昌路145号,大美丽大保健,10：00~22:00,021-63301009,6,3,31.22504,121.48002
Mirror Salon,地铁8号线南京路站出门左拐,卢湾区 思南路15号,大美丽大保健,10：00~22:00,021-63301009,20,10,31.22504,121.48002
ALINE,地铁8号线南京路站出门左拐,卢湾区 陕西南路218号,大美丽大保健,10：00~22:00,021-63301009,18,13,31.22504,121.48002
LIZ Salon,地铁8号线南京路站出门左拐,卢湾区 马当路388号SOHO复兴广场,大美丽大保健,10：00~22:00,021-63301009,20,10,31.22504,121.48002
Nice Salon,地铁8号线南京路站出门左拐,浦东新区 浦东南路1138号,大美丽大保健,10：00~22:00,021-63301009,18,10,31.22504,121.48002
史云逊健发,地铁8号线南京路站出门左拐,浦东新区 陆家嘴西路168号,大美丽大保健,10：00~22:00,021-63301009,9,5,31.22504,121.48002
潘多拉 Hair Salon,地铁8号线南京路站出门左拐,闵行区 沪闵路7388号,大美丽大保健,10：00~22:00,021-63301009,16,7,31.22504,121.48002
东田造型,地铁8号线南京路站出门左拐,静安区 南京西路1266号,大美丽大保健,10：00~22:00,021-63301009,19,8,31.22504,121.48002